"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate,Footnote Number
497072,4,,4,,89,,4,,93,,4,,85,,3,,79,,74,,112,,21,,
497080,Not Available,11,Not Available,11,94,11,Not Available,11,96,11,Not Available,11,96,11,Not Available,11,97,11,97,11,13,11,25,11,11
497081,3,,3,,86,,2,,82,,3,,78,,2,,80,,72,,283,,18,,
497091,3,,4,,87,,3,,86,,3,,81,,3,,86,,76,,319,,24,,
497093,4,,4,,89,,4,,86,,3,,78,,3,,84,,76,,87,,29,,
497094,4,,5,,90,,4,,91,,4,,85,,3,,82,,83,,154,,32,,
497096,4,,4,,91,,3,,89,,3,,79,,4,,89,,84,,96,,27,,
497245,4,,4,,91,,3,,85,,4,,86,,3,,87,,79,,522,,22,,
497255,Not Available,11,Not Available,11,86,11,Not Available,11,74,11,Not Available,11,61,11,Not Available,11,77,11,62,11,18,11,24,11,11
497256,4,,4,,89,,3,,88,,4,,83,,3,,83,,80,,326,,25,,
497258,4,,4,,90,,3,,86,,3,,78,,4,,87,,80,,635,,24,,
497259,3,,3,,87,,3,,86,,3,,81,,3,,86,,77,,315,,19,,
497260,4,,5,,92,,4,,88,,3,,82,,4,,90,,83,,372,,24,,
497263,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497264,5,,5,,91,,5,,92,,4,,84,,4,,90,,80,,336,,35,,
497268,3,,4,,89,,3,,85,,3,,77,,2,,82,,80,,378,,21,,
497271,4,,5,,91,,4,,89,,4,,83,,4,,89,,85,,319,,26,,
497272,4,,5,,91,,3,,86,,4,,88,,4,,89,,82,,351,,27,,
497275,4,,5,,90,,4,,90,,4,,85,,4,,87,,84,,286,,27,,
497278,5,,5,,93,,5,,92,,4,,88,,4,,89,,86,,320,,32,,
497279,4,,5,,91,,3,,88,,3,,80,,3,,89,,80,,224,,20,,
497285,3,,4,,91,,3,,85,,3,,80,,1,,79,,83,,304,,31,,
497287,4,,4,,88,,4,,86,,4,,86,,4,,89,,81,,104,,30,,
497288,4,,4,,91,,3,,90,,3,,80,,4,,90,,85,,213,,27,,
497289,5,,5,,93,,5,,93,,4,,88,,5,,94,,86,,205,,27,,
497294,3,,3,,87,,3,,84,,3,,81,,3,,84,,76,,221,,21,,
497299,4,,4,,89,,3,,87,,4,,84,,3,,87,,76,,138,,29,,
497320,4,,5,,92,,4,,91,,4,,83,,3,,88,,80,,172,,35,,
497407,4,,4,,89,,3,,85,,4,,83,,3,,82,,71,,126,,31,,
497414,4,,4,,88,,4,,88,,3,,79,,3,,88,,79,,149,,24,,
497415,4,,4,,89,,4,,89,,3,,79,,3,,84,,80,,309,,24,,
497417,4,,4,,90,,4,,90,,4,,85,,3,,83,,82,,149,,20,,
497421,Not Available,9,Not Available,9,90,9,Not Available,9,90,9,Not Available,9,42,9,Not Available,9,100,9,69,9,5,9,23,9,9
497424,4,,4,,90,,4,,90,,4,,83,,3,,87,,79,,313,,25,,
497429,3,,4,,88,,3,,86,,3,,82,,3,,82,,85,,314,,31,,
497441,Not Available,9,Not Available,9,54,9,Not Available,9,21,9,Not Available,9,1,9,Not Available,9,6,9,6,9,1,9,17,9,9
497447,3,,4,,90,,2,,82,,3,,77,,3,,84,,74,,166,,24,,
497455,3,,3,,87,,3,,86,,3,,75,,3,,83,,78,,187,,21,,
497456,4,,4,,89,,4,,87,,4,,85,,4,,84,,79,,151,,25,,
497462,5,,5,,94,,5,,92,,4,,87,,4,,90,,87,,95,,30,,
497463,5,,5,,92,,4,,91,,5,,89,,5,,89,,81,,98,,26,,
497467,4,,4,,89,,4,,90,,3,,81,,4,,87,,80,,581,,25,,
497471,4,11,5,11,94,11,3,11,89,11,4,11,86,11,5,11,93,11,88,11,54,11,24,11,11
497475,5,,5,,94,,4,,91,,5,,90,,5,,91,,88,,107,,37,,
